T_K,rho_mol_m3,P_Pa,Z_PR
304.503200,5882.352941,7.035451550694e6,0.472405398554
304.503200,6000.000000,7.071745649807e6,0.465531781812
304.503200,6117.647059,7.105709370148e6,0.458772076679
304.503200,6235.294118,7.137426992891e6,0.452125174176
304.503200,6352.941176,7.166982066570e6,0.445590001921
304.503200,6470.588235,7.194457449680e6,0.439165523403
304.503200,6588.235294,7.219935352466e6,0.432850737281
304.503200,6705.882353,7.243497377945e6,0.426644676719
304.503200,6823.529412,7.265224562197e6,0.420546408743
304.503200,6941.176471,7.285197413977e6,0.414555033623
304.503200,7058.823529,7.303495953681e6,0.408669684286
304.503200,7176.470588,7.320199751711e6,0.402889525750
304.503200,7294.117647,7.335387966271e6,0.397213754579
304.503200,7411.764706,7.349139380639e6,0.391641598373
304.503200,7529.411765,7.361532439946e6,0.386172315265
304.503200,7647.058824,7.372645287501e6,0.380805193455
304.503200,7764.705882,7.382555800693e6,0.375539550751
304.503200,7882.352941,7.391341626510e6,0.370374734149
304.503200,8000.000000,7.399080216695e6,0.365310119413
304.503200,8117.647059,7.405848862591e6,0.360345110692
304.503200,8235.294118,7.411724729692e6,0.355479140148
304.503200,8352.941176,7.416784891931e6,0.350711667602
304.503200,8470.588235,7.421106365746e6,0.346042180208
304.503200,8588.235294,7.424766143948e6,0.341470192131
304.503200,8705.882353,7.427841229416e6,0.336995244255
304.503200,8823.529412,7.430408668656e6,0.332616903904
304.503200,8941.176471,7.432545585253e6,0.328334764579
304.503200,9058.823529,7.434329213237e6,0.324148445712
304.503200,9176.470588,7.435836930400e6,0.320057592442
304.503200,9294.117647,7.437146291586e6,0.316061875398
304.503200,9411.764706,7.438335061987e6,0.312160990505
304.503200,9529.411765,7.439481250466e6,0.308354658804
304.503200,9647.058824,7.440663142946e6,0.304642626289
304.503200,9764.705882,7.441959335878e6,0.301024663754
304.503200,9882.352941,7.443448769831e6,0.297500566662
304.503200,10000.000000,7.445210763220e6,0.294070155026
304.503200,10117.647059,7.447325046202e6,0.290733273303
304.503200,10235.294118,7.449871794776e6,0.287489790308
304.503200,10352.941176,7.452931665108e6,0.284339599136
304.503200,10470.588235,7.456585828101e6,0.281282617107
304.503200,10588.235294,7.460916004262e6,0.278318785714
304.503200,10705.882353,7.466004498870e6,0.275448070600
304.503200,10823.529412,7.471934237487e6,0.272670461534
304.503200,10941.176471,7.478788801840e6,0.269985972416
304.503200,11058.823529,7.486652466101e6,0.267394641283
304.503200,11176.470588,7.495610233597e6,0.264896530341
304.503200,11294.117647,7.505747873981e6,0.262491726004
304.503200,11411.764706,7.517151960890e6,0.260180338948
304.503200,11529.411765,7.529909910133e6,0.257962504185
304.503200,11647.058824,7.544110018424e6,0.255838381144
304.503200,11764.705882,7.559841502715e6,0.253808153774
304.503200,11882.352941,7.577194540140e6,0.251872030654
304.503200,12000.000000,7.596260308623e6,0.250030245126
304.503200,12117.647059,7.617131028166e6,0.248283055436
304.503200,12235.294118,7.639900002877e6,0.246630744895
304.503200,12352.941176,7.664661663756e6,0.245073622053
304.503200,12470.588235,7.691511612276e6,0.243612020889
304.503200,12588.235294,7.720546664815e6,0.242246301016
304.503200,12705.882353,7.751864897964e6,0.240976847904
304.503200,12823.529412,7.785565694751e6,0.239804073117
304.503200,12941.176471,7.821749791839e6,0.238728414567
304.503200,13058.823529,7.860519327720e6,0.237750336785
304.503200,13176.470588,7.901977891967e6,0.236870331211
304.503200,13294.117647,7.946230575583e6,0.236088916495
304.503200,13411.764706,7.993384022491e6,0.235406638825
304.503200,13529.411765,8.043546482227e6,0.234824072265
304.503200,13647.058824,8.096827863868e6,0.234341819114
304.503200,13764.705882,8.153339791264e6,0.233960510286
304.503200,13882.352941,8.213195659626e6,0.233680805704
304.503200,14000.000000,8.276510693510e6,0.233503394725
304.503200,14117.647059,8.343402006278e6,0.233428996566
304.503200,14235.294118,8.413988661083e6,0.233458360771
304.503200,14352.941176,8.488391733445e6,0.233592267688
304.503200,14470.588235,8.566734375472e6,0.233831528967
304.503200,14588.235294,8.649141881817e6,0.234176988086
304.503200,14705.882353,8.735741757411e6,0.234629520897
304.503200,14823.529412,8.826663787073e6,0.235190036195
304.503200,14941.176471,8.922040107043e6,0.235859476314
304.503200,15058.823529,9.022005278551e6,0.236638817745
304.503200,15176.470588,9.126696363463e6,0.237529071779
304.503200,15294.117647,9.236253002125e6,0.238531285184
304.503200,15411.764706,9.350817493472e6,0.239646540900
304.503200,15529.411765,9.470534877493e6,0.240875958766
304.503200,15647.058824,9.595553020163e6,0.242220696279
304.503200,15764.705882,9.726022700924e6,0.243681949381
304.503200,15882.352941,9.862097702823e6,0.245260953273
304.503200,16000.000000,1.000393490543e7,0.246958983270
304.628200,2000.000000,3.916583293420e6,0.773166595262
304.628200,2117.647059,4.085060312965e6,0.761623970703
304.628200,2235.294118,4.247665908398e6,0.750259297814
304.628200,2352.941176,4.404541325771e6,0.739069584533
304.628200,2470.588235,4.555824786601e6,0.728051925372
304.628200,2588.235294,4.701651599415e6,0.717203498758
304.628200,2705.882353,4.842154267265e6,0.706521564481
304.628200,2823.529412,4.977462591404e6,0.696003461233
304.628200,2941.176471,5.107703771289e6,0.685646604258
304.628200,3058.823529,5.233002501100e6,0.675448483088
304.628200,3176.470588,5.353481062921e6,0.665406659364
304.628200,3294.117647,5.469259416739e6,0.655518764751
304.628200,3411.764706,5.580455287411e6,0.645782498926
304.628200,3529.411765,5.687184248739e6,0.636195627648
304.628200,3647.058824,5.789559804775e6,0.626755980902
304.628200,3764.705882,5.887693468499e6,0.617461451116
304.628200,3882.352941,5.981694837971e6,0.608309991441
304.628200,4000.000000,6.071671670088e6,0.599299614104
304.628200,4117.647059,6.157729952045e6,0.590428388821
304.628200,4235.294118,6.239973970612e6,0.581694441267
304.628200,4352.941176,6.318506379318e6,0.573095951611
304.628200,4470.588235,6.393428263647e6,0.564631153103
304.628200,4588.235294,6.464839204328e6,0.556298330713
304.628200,4705.882353,6.532837338816e6,0.548095819827
304.628200,4823.529412,6.597519421038e6,0.540022004985
304.628200,4941.176471,6.658980879488e6,0.532075318676
304.628200,5058.823529,6.717315873750e6,0.524254240170
304.628200,5176.470588,6.772617349520e6,0.516557294402
304.628200,5294.117647,6.824977092191e6,0.508983050891
304.628200,5411.764706,6.874485779087e6,0.501530122706
304.628200,5529.411765,6.921233030384e6,0.494197165470
304.628200,5647.058824,6.965307458808e6,0.486982876401
